index,original_file,processed_file,mse_gray,psnr_gray_db,mean_abs_diff_gray,edge_var_original,edge_var_processed
1,0037.png,processed_005a4c26a482408685730d21a3a69075.jpg,9977.9482,8.14,64.8661,156.0573,471.0184
2,0287.png,processed_00ef5b8f8126456b9b50092c571e26dc.jpg,4333.7637,11.762,43.9231,110.7335,211.2293
3,0435.png,processed_027e1d8768534c9f9b731d47ea668fe0.jpg,7688.4419,9.272,51.4,154.483,152.2813
4,0458.png,processed_02c09c4285cd49189090ec8448134a64.jpg,12198.8271,7.268,73.1514,159.4091,344.2781
5,0689.png,processed_02d84851c7c244b195e563dadf990d35.jpg,6821.3701,9.792,57.9565,168.2322,248.6092
6,0720.png,processed_0521d32083ca430093e13413036a02a0.jpg,6267.4741,10.16,49.0865,114.6236,75.262
7,0789.png,processed_056e4677b6d04fadaa798ecd073bb513.jpg,9463.418,8.37,70.5988,166.962,234.1801
8,0840.png,processed_0775bc1c1b3c4a3c9720538f46c8877c.jpg,9150.707,8.516,66.392,121.8621,428.4596
9,0878.png,processed_07843b56c24645df8af97d4aee805bdf.jpg,19122.2246,5.315,98.865,151.4206,255.7896
10,0896.png,processed_07cdd2aa1b954c5ea4b472a65e0b4542.jpg,13841.9521,6.719,76.3618,236.1091,228.2299
11,0972.png,processed_093525172bae48d7a4f1257202757251.jpg,5884.9043,10.433,51.0457,168.9732,99.7103
12,0980.png,processed_0bd3990006d545c0898de40ffdc2ffa2.jpg,15343.167,6.272,102.7444,222.2069,99.4536
13,10059.png,processed_0bf6ce9fe54b4cd2bc8f4ad01a7f176c.jpg,7965.6729,9.119,52.1136,123.693,160.1773
14,10630.png,processed_0c4273a7a66248c49b0848161c51c09e.jpg,5299.5571,10.888,43.4681,103.8218,118.4004
15,10808.png,processed_0c9485ba8710442888d3842a24d1ebf0.jpg,9453.2158,8.375,58.0192,176.9117,164.5891
16,10868.png,processed_0d75f3e56a6a4e36b6a8d853527c2169.jpg,10701.6523,7.836,66.6106,483.1519,686.2911
17,1088.png,processed_0d8b81a5c0324773aa8472ee8c9d8917.jpg,7019.4736,9.668,56.0868,189.2728,145.2133
18,1092.png,processed_0e5628b69de54180815a6260b149a5a7.jpg,14710.7002,6.454,90.9601,33.0136,207.727
19,10984.png,processed_0fa89ea20c1044a9ab42cd1bbf767ee4.jpg,3783.6157,12.352,35.8075,149.5604,172.3377
20,11151.png,processed_0ffc696365f8422ba4788212d3d6698f.jpg,14901.4863,6.399,84.4821,82.009,365.6915
21,11198.png,processed_10048ea9ccb2472397ecdb7fd1717035.jpg,7408.6338,9.433,51.5044,104.0371,235.7033
22,11260.png,processed_11316b1dfbcb4057a4fd85b28cfadefa.jpg,7007.2852,9.675,46.6294,175.2644,136.7661
23,11441.png,processed_114ce6caadac4030a56dd1d5abd0e0ca.jpg,5527.9365,10.705,46.5578,77.014,104.2896
24,11464.png,processed_11fa1e682033450e95e5a842e0694792.jpg,5403.1621,10.804,46.8475,98.8266,83.2704
25,11570.png,processed_124f8bab4f9c4006ae5000690779027e.jpg,10268.4609,8.016,72.071,152.6114,132.9305
26,11633.png,processed_12c754f1b57c46ecad8672444e1807c4.jpg,8320.3115,8.929,58.3585,336.2968,70.4473
27,12000.png,processed_12ccfee4b3894f9cb12f81161f8e0f3b.jpg,9094.9092,8.543,65.3198,105.4496,291.9102
28,12068.png,processed_13df8968dd344d459df1ba072ff0e735.jpg,7088.3774,9.625,55.591,143.8879,67.0156
29,12105.png,processed_140a35f341ec4e5487dabcdc466e16c1.jpg,8847.8438,8.662,57.2547,188.0359,420.7738
30,12344.png,processed_1657fa750f4745fb8bbc2f2809a86c5a.jpg,8340.9131,8.919,55.8291,148.791,254.6955
31,12444.png,processed_17705645993c4154905fe524a6eafb82.jpg,6797.6582,9.807,56.5702,96.6894,192.4265
32,12503.png,processed_181293161ef34c8b94529566ace0a253.jpg,3937.1487,12.179,38.5406,207.8506,108.3091
33,12528.png,processed_187d072710174f32ab0699287e7b1630.jpg,9478.2256,8.364,81.4762,142.139,431.7861
34,12562.png,processed_18ce9063f2a64ec0abe5a73d4cf49b99.jpg,7322.9536,9.484,56.1641,339.0352,82.4293
35,12771.png,processed_19186b34a4b64568a4c4ba9b9f233f40.jpg,15139.3486,6.33,90.2546,191.022,286.8676
36,1282.png,processed_193f5e2669d94f31821755587df5231a.jpg,8032.4224,9.082,55.8731,113.6206,120.697
